Codigo,Nombre,Categoria,Estado,Departamento,Municipio,Altitud,Fecha_instalacion,Fecha_suspension,Corriente,Latitude,Longitud
16050210,HIPILANDIA HDA  [16050210],Pluviométrica,Suspendida,Norte de Santander,Ábrego,1851,15/01/1960,15/03/1961,Tejo,8.3,-73.38333333
11150040,INST DEL CHOCO  [11150040],Pluviométrica,Suspendida,Chocó,Acandí,2,15/06/1940,15/07/1944,Cauca,8.51666667,-77.28333333
16050220,MOTILANDIA  [16050220],Pluviométrica,Suspendida,Norte de Santander,Cúcuta,200,15/03/1961,15/09/1968,Cno Mojana,8.7,-73.01666667
25027190,SAN ANTONIO  [25027190],Limnimétrica,Suspendida,Bolívar,Barranco De Loba,25,15/04/1967,15/10/1967,Bzo De Loba,9.05,-74.76666667
25020580,ALTAMIRA ROVIRA  [25020580],Pluviométrica,Suspendida,Sucre,San Pedro (Sucre),130,15/09/1971,15/03/1974,Bzo De Loba,9.35,-75.06666667
25027440,PTE CARRETERA  [25027440],Limnimétrica,Suspendida,Cesar,Curumaní,62,15/06/1964,15/08/1964,Qda Mulas,9.35,-73.5
25020120,ESPERANZA LA HDA  [25020120],Pluviométrica,Suspendida,Bolívar,Zambrano,25,15/01/1955,15/10/1958,Cesar,9.71666667,-74.83333333
28027130,PTE CASACARA  [28027130],Limnimétrica,Suspendida,Cesar,Agustín Codazzi,132,15/10/1963,15/04/1967,Qda Platanal,9.81666667,-73.25
29010210,CARMEN DE BOLIVAR  [29010210],Pluviométrica,Suspendida,Bolívar,El Carmén De Bolívar,150,15/01/1958,15/09/1965,Qda Platanal,9.71666667,-75.11666667
28020110,CONCORDIA LA HDA  [28020110],Pluviométrica,Suspendida,Cesar,Agustín Codazzi,500,15/01/1961,15/12/1961,Qda Platanal,9.93333333,-73.26666667
28020160,IBERIA HDA  [28020160],Pluviométrica,Suspendida,Cesar,Agustín Codazzi,200,15/05/1961,15/07/1966,Qda Platanal,9.95,-73.2
27017180,VEGAS LAS G-5  [27017180],Limnimétrica,Suspendida,Antioquia,Santa Rosa De Osos,2100,15/09/1954,15/06/1958,Qda Guanacas,6.7,-75.33333333
27017190,HOJAS ANCHAS G-4  [27017190],Limnimétrica,Suspendida,Antioquia,Carolina,1770,15/10/1954,15/06/1958,Qda Hojas Anchas,6.71666667,-75.25
24030990,JORDAN  [24030990],Pluviográfica,Suspendida,Santander,Jordán,2300,15/01/1956,15/01/1971,Porce,6.73333333,-73.08333333
24030030,CONCEPCION  [24030030],Pluviométrica,Suspendida,Santander,Concepción (Santander),2050,15/06/1943,15/11/1957,Herradura,6.76666667,-72.7
21215120,SAN JORGE  [21215120],Climática Ordinaria,Suspendida,Tolima,Ibagué,1250,15/01/1923,15/09/1961,Qda San Juana,4.43333333,-75.25
27017050,GUADALUPE G-1  [27017050],Limnigráfica,Suspendida,Antioquia,Gómez Plata,1730,15/10/1937,15/03/1954,Guadalupe,6.78333333,-75.25
27017760,"CAPTACION GIV,G9  [27017760]",Limnigráfica,Suspendida,Antioquia,Gómez Plata,1122,15/08/1985,15/02/1991,Guadalupe,6.78333333,-75.21666667
4401700162,NIVEL TARUCA MEDIO,Limnimétrica,Activa,Putumayo,Mocoa,1217,25/02/2020,,Mocoa,1.17762222,-76.68628611
27027020,SALADO EL TC 2  [27027020],Limnigráfica,Suspendida,Antioquia,Carolina,1837,15/04/1956,15/12/1965,Tenche,6.81666667,-75.3
